,age.goup,feature.a,feature.b,rho,pvalue,n.a,n.b
118,45 to 64,FeelSurprised,PctNotHappyCorrect,-0.196386019,0.201369393,44,44
104,45 to 64,FeelAngry,TotalPctCorrect,-0.196045099,0.202168516,44,44
83,45 to 64,FeelHappy,PctAngryCorrect,0.268657492,0.204306006,44,24
1,25 to 44,FeelHappy,PctHappyCorrect,0.093852106,0.205085554,310,184
55,18 to 24,FeelSad,PctNotSadCorrect,-0.153804097,0.210477508,68,68
26,25 to 44,FeelAfraid,PctSadCorrect,-0.106549514,0.246751773,310,120
10,25 to 44,FeelSad,PctSadCorrect,-0.106315709,0.247796122,310,120
74,18 to 24,FeelSurprised,PctSadCorrect,-0.233997314,0.249922604,68,26
96,45 to 64,FeelSad,TotalPctCorrect,-0.175319941,0.25499308,44,44
120,45 to 64,FeelSurprised,TotalPctCorrect,-0.17274956,0.262135293,44,44
84,45 to 64,FeelHappy,PctAfraidCorrect,-0.319451851,0.265565576,44,14
86,45 to 64,FeelHappy,PctNotHappyCorrect,-0.154847239,0.315551802,44,44
66,18 to 24,FeelAfraid,PctSadCorrect,-0.202481415,0.321195334,68,26
58,18 to 24,FeelAngry,PctSadCorrect,-0.1932567,0.344192287,68,26
110,45 to 64,FeelAfraid,PctNotHappyCorrect,-0.143486738,0.352783588,44,44
4,25 to 44,FeelHappy,PctAfraidCorrect,-0.078861891,0.361445994,310,136
42,18 to 24,FeelHappy,PctSadCorrect,-0.18545125,0.364398308,68,26
114,45 to 64,FeelSurprised,PctSadCorrect,-0.238415824,0.373881369,44,16
101,45 to 64,FeelAngry,PctSurprisedCorrect,-0.150422485,0.381203747,44,36
91,45 to 64,FeelSad,PctAngryCorrect,-0.18249698,0.393369527,44,24
47,18 to 24,FeelHappy,PctNotSadCorrect,-0.100459182,0.415007028,68,68
25,25 to 44,FeelAfraid,PctHappyCorrect,-0.058911838,0.426983885,310,184
11,25 to 44,FeelSad,PctAngryCorrect,-0.055804559,0.442011656,310,192
48,18 to 24,FeelHappy,TotalPctCorrect,-0.093302854,0.449179495,68,68
119,45 to 64,FeelSurprised,PctNotSadCorrect,-0.11403932,0.461071271,44,44
33,25 to 44,FeelSurprised,PctHappyCorrect,-0.054496308,0.462502462,310,184
35,25 to 44,FeelSurprised,PctAngryCorrect,-0.053325959,0.462580704,310,192
99,45 to 64,FeelAngry,PctAngryCorrect,-0.150537659,0.482598966,44,24
116,45 to 64,FeelSurprised,PctAfraidCorrect,0.175183273,0.549155518,44,14
107,45 to 64,FeelAfraid,PctAngryCorrect,-0.125681874,0.558431988,44,24
19,25 to 44,FeelAngry,PctAngryCorrect,-0.042421598,0.559061819,310,192
50,18 to 24,FeelSad,PctSadCorrect,0.117791706,0.566587769,68,26
117,45 to 64,FeelSurprised,PctSurprisedCorrect,0.095553539,0.579333313,44,36
82,45 to 64,FeelHappy,PctSadCorrect,-0.138409133,0.609211933,44,16
3,25 to 44,FeelHappy,PctAngryCorrect,-0.036563377,0.614614832,310,192
49,18 to 24,FeelSad,PctHappyCorrect,-0.075746941,0.62926331,68,43
81,45 to 64,FeelHappy,PctHappyCorrect,0.086589664,0.63183782,44,33
87,45 to 64,FeelHappy,PctNotSadCorrect,-0.068809492,0.657174645,44,44
108,45 to 64,FeelAfraid,PctAfraidCorrect,-0.122096573,0.677547477,44,14
51,18 to 24,FeelSad,PctAngryCorrect,0.064336072,0.693283237,68,40
106,45 to 64,FeelAfraid,PctSadCorrect,0.097590007,0.719180011,44,16
75,18 to 24,FeelSurprised,PctAngryCorrect,-0.056099459,0.73097846,68,40
52,18 to 24,FeelSad,PctAfraidCorrect,-0.050532637,0.787187814,68,31
103,45 to 64,FeelAngry,PctNotSadCorrect,-0.039063296,0.801231922,44,44
36,25 to 44,FeelSurprised,PctAfraidCorrect,0.020589858,0.811938631,310,136
100,45 to 64,FeelAngry,PctAfraidCorrect,-0.064062213,0.827761935,44,14
34,25 to 44,FeelSurprised,PctSadCorrect,0.018897345,0.837680284,310,120
95,45 to 64,FeelSad,PctNotSadCorrect,0.031384274,0.839732006,44,44
102,45 to 64,FeelAngry,PctNotHappyCorrect,-0.030206455,0.845672411,44,44
115,45 to 64,FeelSurprised,PctAngryCorrect,-0.025881446,0.904448515,44,24
45,18 to 24,FeelHappy,PctSurprisedCorrect,-0.012758025,0.924957582,68,57
88,45 to 64,FeelHappy,TotalPctCorrect,0.010896863,0.944032275,44,44
67,18 to 24,FeelAfraid,PctAngryCorrect,0.011266744,0.944989864,68,40
92,45 to 64,FeelSad,PctAfraidCorrect,-0.015326683,0.958526429,44,14
46,18 to 24,FeelHappy,PctNotHappyCorrect,0.005007208,0.967674403,68,68
94,45 to 64,FeelSad,PctNotHappyCorrect,0.000656565,0.996625135,44,44
