"","age.goup","feature.a","feature.b","rho","pvalue","n.a","n.b"
"60","Female","FeelAngry","PctAfraidCorrect","-0.0173247593481397","0.893680066341972","154","62"
"61","Female","FeelAngry","PctSurprisedCorrect","0.0291575512206787","0.7448713670771","154","127"
"62","Female","FeelAngry","PctNotHappyCorrect","-0.191504001110895","0.0173500903759621","154","154"
"63","Female","FeelAngry","PctNotSadCorrect","-0.097166570811276","0.23059783879649","154","154"
"64","Female","FeelAngry","TotalPctCorrect","-0.100064426895032","0.216923057065773","154","154"
"65","Female","FeelAfraid","PctHappyCorrect","0.0902536062182853","0.376800418517363","154","98"
"66","Female","FeelAfraid","PctSadCorrect","-0.203824150137895","0.124870509037024","154","58"
"67","Female","FeelAfraid","PctAngryCorrect","-0.216512552182131","0.0350800545468188","154","95"
"68","Female","FeelAfraid","PctAfraidCorrect","-0.0510565761875977","0.69351047134127","154","62"
"69","Female","FeelAfraid","PctSurprisedCorrect","-0.123229217723263","0.167507002929196","154","127"
"70","Female","FeelAfraid","PctNotHappyCorrect","-0.221689430213571","0.00572468755808803","154","154"
"71","Female","FeelAfraid","PctNotSadCorrect","-0.187599221127054","0.0198166232103641","154","154"
"72","Female","FeelAfraid","TotalPctCorrect","-0.224062874301318","0.00521407869434863","154","154"
"73","Female","FeelSurprised","PctHappyCorrect","0.0572508241744845","0.575518977022042","154","98"
"74","Female","FeelSurprised","PctSadCorrect","0.0705731827512985","0.598591940404213","154","58"
"75","Female","FeelSurprised","PctAngryCorrect","0.126575110728275","0.221597036449959","154","95"
"76","Female","FeelSurprised","PctAfraidCorrect","0.21870649472855","0.087674772951706","154","62"
"77","Female","FeelSurprised","PctSurprisedCorrect","-0.0680482004392243","0.447156728769007","154","127"
"78","Female","FeelSurprised","PctNotHappyCorrect","-0.152032006985901","0.0598016861394225","154","154"
"79","Female","FeelSurprised","PctNotSadCorrect","-0.123073588383164","0.128348519947934","154","154"
"80","Female","FeelSurprised","TotalPctCorrect","-0.0142313279495718","0.860941239326471","154","154"
